Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_consumption
Italy,4832.2939865,255242399.0,247928159.0,293295779.0,286417798.0,278661538.0,286554868.0,294775145.0,296156182.0,295121368.0,308954181.0,314596623.0,310933814.0,330426866.0,328134548.0,333109609.0,335583637.0,349256943.0,353529131.0,348361476.0,346879138.0,341359906.0,342585790.0,338033202.0,351682249.0,339611603.0,359888788.0,336619653.0,357285795.0,328144707.0,9289130895.0
Latvia,,,1155540.0,2486880.0,338820.0,851498.0,2986030.0,7198046.0,8046795.0,9956622.0,9707690.0,8986196.0,8699836.0,9514209.0,9299635.0,8653337.0,10847257.0,7851009.0,6908331.0,5286789.0,5915704.0,6061827.0,6071196.0,5698375.0,6610481.0,6373072.0,6660694.0,7051078.0,5878151.0,6821592.0,181916690.0
Lithuania,,,93240.0,528000.0,2228999.0,4056807.0,3970879.0,6500232.0,8103427.0,9505652.0,10394621.0,12259208.0,12498789.0,10384140.0,11837298.0,11605277.0,12805392.0,13804801.0,12226984.0,12586630.0,13357568.0,10786974.0,11593123.0,11817516.0,13383638.0,12727013.0,14512727.0,14420892.0,15705032.0,15086814.0,288781673.0
Luxembourg,,,,,,,,,,3671664.0,8649600.0,7996462.0,10337821.0,11392067.0,13241905.0,13612322.0,13988651.0,15036989.0,14329697.0,13314418.0,13937063.0,12874007.0,12733925.0,14483384.0,15321929.0,13347080.0,13399526.0,12669725.0,15338028.0,13417230.0,263093493.0
Malta,19.6129985,776700.0,948900.0,1306320.0,695460.0,1272098.0,544504.0,530842.0,395146.0,518606.0,528630.0,545064.0,530055.0,633733.0,931381.0,976707.0,1728716.0,954391.0,1364827.0,847418.0,721668.0,933420.0,1259870.0,1295161.0,1476715.0,923153.0,1057844.0,982489.0,1138395.0,1386957.0,27205170.0
Netherlands,2382.753011,149259661.0,195652021.0,163167120.0,127332361.0,137605261.0,150561493.0,142003669.0,117655051.0,88274935.0,111586301.0,100624697.0,94435073.0,104550113.0,118688438.0,115615858.0,127727284.0,137525464.0,79413820.0,53868697.0,80824937.0,54555016.0,82947646.0,97526399.0,108005257.0,101745673.0,124748970.0,117848308.0,128691436.0,121805148.0,3334246107.0
Poland,334.5920014,14581440.0,99013742.0,92682893.0,104529804.0,98199606.0,105327372.0,117961056.0,117872257.0,119118302.0,122735262.0,133345505.0,132067732.0,134526964.0,136866447.0,136045774.0,119584592.0,93261891.0,100865232.0,120060461.0,129342721.0,122057276.0,116167601.0,100139923.0,69005924.0,85187545.0,118523328.0,134459678.0,146147678.0,150037732.0,3269715738.0
Portugal,467.0189996,26903340.0,34374840.0,31750620.0,40368660.0,37930740.0,36905676.0,36172830.0,41751264.0,44214126.0,38783646.0,44729777.0,43174932.0,39442157.0,45759019.0,44654213.0,46080845.0,46131497.0,44790509.0,43865125.0,48730334.0,51535487.0,49684779.0,50420822.0,51174556.0,46962399.0,51991001.0,50612389.0,52405171.0,55871840.0,1277172594.0
Romania,441.5340034,20125021.0,36040981.0,25175401.0,20822820.0,32986560.0,41770080.0,37818060.0,35067900.0,30412404.0,33061560.0,37951014.0,44252940.0,45299634.0,49094322.0,51423768.0,50107537.0,49414394.0,48406028.0,46496689.0,47752485.0,48114012.0,50953417.0,53473527.0,54768064.0,58902313.0,64347308.0,66200029.0,67185826.0,66488255.0,1313912349.0
Slovakia,,,,16541760.0,14013313.0,13379654.0,14668162.0,14067347.0,14489594.0,14941110.0,15798944.0,17022893.0,16517748.0,17125577.0,16990539.0,17594190.0,16854185.0,21380074.0,20462096.0,12764715.0,20224018.0,23264479.0,12064589.0,19685165.0,29886063.0,16036213.0,13551897.0,9148775.0,16655885.0,13618569.0,448747554.0
